GranuleURPrefix,Year,BeginningDateTime,EndingDateTime
usa_neontool,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neontree,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neontree,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neontree,2019,2019-05-01T00:00:00Z,2019-05-31T23:59:59Z
usa_neontree,2020,2020-07-01T00:00:00Z,2020-07-31T23:59:59Z
usa_neonukfs,2016,2016-07-01T00:00:00Z,2016-07-31T23:59:59Z
usa_neonukfs,2017,2017-06-01T00:00:00Z,2017-06-30T23:59:59Z
usa_neonukfs,2018,2018-06-01T00:00:00Z,2018-06-30T23:59:59Z
usa_neonukfs,2019,2019-04-01T00:00:00Z,2019-04-30T23:59:59Z
usa_neonukfs,2020,2020-06-01T00:00:00Z,2020-06-30T23:59:59Z
usa_neonunde,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neonunde,2017,2017-09-01T00:00:00Z,2017-09-30T23:59:59Z
usa_neonunde,2019,2019-05-01T00:00:00Z,2019-05-31T23:59:59Z
usa_neonunde,2020,2020-07-01T00:00:00Z,2020-07-31T23:59:59Z
