GranuleUR,BeginningDateTime,EndingDateTime,WestBoundingCoordinate,NorthBoundingCoordinate,EastBoundingCoordinate,SouthBoundingCoordinate,TreeHeightMeasurementStatus,BreastHeightMeasurementStatus,BreastHeight,MinimumDiameterMeasured,StemMappedStatus,BreastHeightModeledStatus,DatasetStatus,DataFormat,Geolocated,AcquisitionType,PFTMODIS,WWFEcoregion,SpatialResolution,NumberOfPlots,PlotArea,SubplotSize,ProductionDateTime,SizeMBDataGranule,DayNightFlag
gedicalval_treedata_australia_ausplotsforests_20200924_r03.csv,2012-01-23T00:00:00Z,2015-02-04T23:59:59Z,111.2892479,-30.0833467,155.7179351,-43.10310248,TRUE,TRUE,1.3,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees;Evergreen Needleleaf trees,Eastern Australian temperate forests;Southeast Australia temperate forests;Tasmanian temperate forests;Tasmanian temperate rain forests;Jarrah-Karri forest and shrublands;Tasmanian Central Highland forests,NA,NA,NA,NA,2020-09-24T12:00:00Z,18.87346554,Unspecified
gedicalval_treedata_australia_ilcp2015_20200904_r03.csv,2015-08-17T00:00:00Z,2015-08-21T23:59:59Z,142.3844159,-25.40034326,147.6189914,-25.78954077,NA,TRUE,10,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Brigalow tropical savanna,NA,NA,NA,NA,2020-09-04T12:00:00Z,0.3971138,Unspecified
gedicalval_treedata_australia_robsoncreek_20200904_r03.csv,2009-01-01T00:00:00Z,2009-01-01T23:59:59Z,145.6299423,-17.1178027,145.6346743,-17.12235288,TRUE,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Queensland tropical rain forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,24.31376457,Unspecified
gedicalval_treedata_canada_abovenwt_20200904_r03.csv,2016-07-09T00:00:00Z,2016-08-08T23:59:59Z,-119.4199306,62.50101652,-108.2952046,60.74806331,TRUE,TRUE,0.1,0.003,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees;Barren or sparse vegetation;Shrub,Muskwa-Slave Lake forests;Mid-Continental Canadian forests;Northwest Territories taiga;Northern Canadian Shield taiga,NA,NA,NA,NA,2020-09-04T12:00:00Z,2.342673302,Unspecified
gedicalval_treedata_canada_saskatchewan_20200904_r03.csv,2016-06-20T00:00:00Z,2019-08-27T23:59:59Z,-107.9815384,54.3113785,-102.7058084,52.85062469,TRUE,TRUE,1.3,0.1,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees;Grass;Deciduous Needleleaf trees;Cereal crops,Mid-Continental Canadian forests;Canadian Aspen forests and parklands,NA,NA,NA,NA,2020-09-04T12:00:00Z,22.38111973,Unspecified
gedicalval_treedata_gabon_mondah_20200904_r03.csv,2016-02-01T00:00:00Z,2016-02-24T23:59:59Z,9.315750718,0.617389678,9.422970564,0.53820928,FALSE,TRUE,0.008,0.01,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Central African mangroves,NA,NA,NA,NA,2020-09-04T12:00:00Z,4.875801086,Unspecified
gedicalval_treedata_italy_sella_20200904_r03.csv,2008-07-31T00:00:00Z,2008-07-31T23:59:59Z,11.42358321,46.00381109,11.42717661,46.00126772,TRUE,TRUE,1.5,0.01,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,Alps conifer and mixed forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,7.102959633,Unspecified
gedicalval_treedata_panama_bci_20200904_r03.csv,2010-01-18T00:00:00Z,2011-03-28T23:59:59Z,-85.31214314,9.155783507,-79.84604401,9.127435701,NA,TRUE,0.3,0.01,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Isthmian-Atlantic moist forests,NA,NA,NA,NA,2020-09-04T12:00:00Z,266.4101887,Unspecified
gedicalval_treedata_usa_bnzlter_20201028_r03.csv,2004-07-21T00:00:00Z,2014-09-29T23:59:59Z,-155.753285,66.26568441,-144.0494709,63.69562989,FALSE,TRUE,1.37,0.1,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees;Grass,Interior Alaska-Yukon lowland taiga;Interior Yukon-Alaska alpine tundra,NA,NA,NA,NA,2020-10-28T12:00:00Z,41.54697227,Unspecified
gedicalval_treedata_usa_cafi_20201028_r03.csv,1994-07-06T00:00:00Z,2017-06-16T23:59:59Z,-155.9724478,65.43009286,-138.0018874,60.109316,FALSE,TRUE,1.37,0.00254,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees;Grass;Shrub;Urban and built-up,Interior Alaska-Yukon lowland taiga;Interior Yukon-Alaska alpine tundra;Alaska-St. Elias Range tundra;Copper Plateau taiga;Pacific Coastal Mountain icefields and tundra;Cook Inlet taiga,NA,NA,NA,NA,2020-10-28T12:00:00Z,85.37314892,Unspecified
